"Donor","Group","Cell","CCR10","CD278","IFNGRB","CD46","CD70","CD1a","CD2","B7H4","CD10","CD100","CD105","CD106","CD107a","CD107b","CD109","CD111","CD112","CD114","CD116","CD117","CD119","CD11a","CD11b","CD122","CD123","CD126","CD127","CD13","CD131","CD134","CD135","CD137","X4.1BBL","CD138","CD140a","CD140b","CD141","CD142","CD143","CD146","CD148","CD15","CD150","CD151","CD154","CD156c","CD158e1","CD162","CD163","CD164","CD165","CD166","CD169","CD170","CD172a.b","CD172g","CD178","CD179a","CD179b","CD18","CD180","CD182","CD183","CD185","CD191","CD194","CD1b","CD1c","CD200","CD200R","CD202b","CD203c","CD205","CD206","CD207","CD21","CD213A1","CD213A2","CD218a","CD221","CD223","CD226","CD227","CD229","CD23","CD231","CD244..2B4.","CD245","CD252","CD261","CD262","CD263","CD266","CD268","CD271","CD275","CD276","CD147","CD279","CD28","CD29","CD290","CD298","CD30","CD300c","CD309","CD31","CD314","CD317","CD324","CD325","CD328_clone_6-434","CD33","CD334","CD335","CD336","CD337","CD34","CD340","CD344","CD35","CD354","CD360_clone_17A12","CD365","CD366","CLEC4A","CD36L1","CD39","CD40","CD41","CD42b","CD43","CD44","CD47","CD48","CD49a","CD49b","CD49c","CD49d","CD5","CD50","CD54","CD55","CD58","CD6","CD61","CD62E","CD62L","CD62P","CD63","CD64","CD69","CD73","CD74","CD79b","CD80","CD81","CD82","CD83","CD85_clone_17G10.2","CD85k","CD87","CD89","CD9","CD90","CD93","CD94","CD96","CD97","CD99","CXCL16","DLL1","DLL4","DR3","EGFR","GPR19","GPR56","HLA.E","HVEM","Ig.light.chain.κ","IgM","CD360_clone_2G1-K12","Integrin.α9β1","Jagged.2","Ksp37","LAP","LY6G6D","MERTK","MSC","MSC.NPC","TNAP","MUC.13","NKp80","Notch.1","Notch3","Notch.4","NPC","CD352","PSMA","ROR1","Siglec.10","CD328_clone_S7.7","Siglec.8","Siglec.9","SSEA.5","SUSD2_clone_W5C5","TCR.α.β","Tim.4","TLT.2","TM4SF20","TRA.2.49","TRA.2.54","TSLPR","VEGFR.3","CD133","APCDD1","CD272","CD198","CCRL2","CD102","CD104","CD124","CD130","CD144","CD152..CTLA.4.","CD155","CD158b","CD184","CD186","CD192","CD197","CD199","CD209","CD217","CD230..Prion.","CD24","CD243","CD26","CD269","CD282","CD284","CD301","CD303","CD304","CD307e","CD323","CD357..GITR.","CD36","CD369","CD370","CD371","CD45RO","CD51","CD59","CD7","CD71","CD84","CD88","CD355","erbB3","FPR3","Ganglioside.GD2","GPR83","Ig.light.chain.λ","IgD","IL.28RA","integrin.β5","KLRG1","LOX.1","MICA.MICB","SUSD2_clone_W3D5","Notch.2","TACSTD2","TIGIT..VSTM3.","C3aR","CCX.CKR..CCRL1.","CD11c","CD129","CD158","CD181","CD193","CD196","CD1d","CD20","CD22","CD220","CD235ab","CD258","CD274","CD319","CD32","CD326","CD338","CD368","CD45RB","CD49e","CD52","CD66a.c.e","CD85h","CD85_clone_GHI/75","CD86","CD92","CXCR7","Delta.Opioid.Receptor","Dopamine.Receptor.D1..DRD1.","EphA2","FcεRIα","GARP","CD215","Lymphotoxin.β.Receptor","MRGX2","TMEM8A","CD254","CD318","CD255","SSEA.4","Sialyl.Lewis.X..dimeric.","TRA.1.81","CD160","CD57","CD66b","TRA.1.60.R","CD115","CD201","CD120b","CD210","CD267","CD294","CD49f","CD85_clone_MKT5.1","CD85d","IgG.Fc","Integrin.β7","XCR1","Podoplanin","CD132","CD195","CX3CR1","SSEA.3"
"Dec2","Decidua","gdTCR",94.74,45.54,24.04,39,0,0,64.3,0,0,55.1,25,0,61.7,1.4,0,0,0,0,0,0,32.3,69.4,64.4,7.9,0,0,10.8,0,0,0,0,0,16.1,0,0,4.8,8.4,0,4.4,0,45,6.7,35.1,48.1,0,69.4,0,23.7,0,61.9,0,0,0,0,0,47.8,0,0,0,69.4,0,0,56.1,15.4,7.6,27.9,0,0,0,23.9,0,1.5,69.4,0,0,0,0,0,55.6,0,0,54.8,0,61.9,0,0,49.8,0,0,0,0,1.8,0,0,0,0,6.9,69.4,34.9,25,69.4,0,69.4,0,29.9,0,34.1,62.9,64.4,0,1.4,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,69.4,69.4,69.4,69.4,2.7,0,0,65.8,39.6,69.4,48,21.9,69.4,67.1,0,0,0,0,69.4,15.7,0.8,9,4.6,17.5,0,69.4,58.5,10,0,0,0,0,0,0,0,39.9,0,59.2,32.8,0,0,0,0,0,0,10.6,67.8,64.5,0,0,0,0,0,0,0,0,0,0,31.2,0,0,18.4,0,0,0,0,69.4,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,14.5,16,6.3,63.4,0,4.1,0,0,0,0,13.1,68.1,0,31.9,7.1,0.9,0,0,7.1,9.7,59.7,30.1,0,0,0.7,9.8,0,0,0,0,0,0,0,4.7,0,40,0,72.5,74.5,0,61.7,0,0,0,7.2,0,3.8,0,11.3,0,0,65.4,0,0,0,0,0,18.3,32.9,15,41.9,14.2,17.6,50.3,17.7,22.5,21.8,18.3,20.1,3.6,0,16.2,53.9,79.9,43.1,0,13.2,19.1,64.4,75.7,85,8.9,9,30.7,2.4,13.2,21.6,22.8,17.3,27.9,0,0,23.3,8.8,24.1,5.4,21.6,0,0.5,0,15.75,0,56.65,27.05,0,0,43.2,25.8,13,16.8,1.4,12.2,69.5,0,33.9,0.6,30,22.8,19.2,89.7,68.6,62.2,0
"Dec1","Decidua","gdTCR",100,70,33.3,19.9,0,0,55.6,0,5.6,55.6,55.6,0,38.9,0,0,0,0,0,0,0,0,55.6,47.9,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,0,27,0,0,55.6,0,19.2,0,55.6,0,0,17.1,0,0,48.5,0,2.3,0,55.6,0,0,55.6,0,22.3,12.7,0,0,0,44.5,0,0,55.6,15.6,0,0,0,0,15.6,0,0,55.6,0,55.6,0,0,34.2,0,0,11.2,0,0,0,0,0,0,0,55.6,35.6,55.6,55.6,0,55.6,0,0,0,0,44.5,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,55.6,55.6,55.6,33.4,0,5.6,55.6,50.3,55.6,27,46.5,46.5,55.6,0,0,0,0,55.6,41.3,0,0,13.5,5.6,0,55.6,43.1,0,0,0,0,0,35.6,0,0,9.4,0,55.6,34.2,0,0,0,0,0,0,0,55.6,47.3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,8.9,0,0,0,0,27,0,0,0,0,0,0,0,0,4.4,26.2,0,11.1,38.2,0,0,0,0,0,2.7,0,44.4,0,22.2,9.1,13.6,0,0,5.9,8.7,44.4,37.7,0,0,0,17.7,0,0,0,0,0,8,0,0,0,31.1,0,44.4,44.4,0,44.4,17.7,0,0,0,0,0,0,0,0,17.1,37.7,0,0,0,1.5,0,0,13.3,0,44.4,11.1,0,33.3,0,14.3,40,42.9,27.8,25,0,33.3,83.3,83.3,93.3,0,33.3,18.2,100,75,100,45.5,12.5,70,30.8,40,12.5,25,16.7,0,0,0,8.33,15.4,50,54.5,15.4,8.33,23.9,0,18.6,0,34.4,20.8,0,0,50,44.4,0,33.3,0,40,88.9,7.69,25,33.3,53.3,11.8,28.6,100,70,25,0
"Dec4","Decidua","gdTCR",100,50,59.3,35.7,7.5,0,74.2,0.9,35.7,45,74.2,0,65.1,20.9,18,0,0,18.6,2.8,0,38.9,74.2,67.5,35.7,0,0,60.6,11.2,13.1,5.4,0.5,0,19.2,0,19.7,18.2,2,0,24.2,0,74.2,34.2,39.2,21.3,0,74.2,0,21.3,0,68.6,5.4,11,9.9,0,0,40.9,17.1,16.3,0,74.2,0,0,74.2,7.5,43,27.5,0,0,14.2,32.5,0,2.8,74.2,43.4,0,0,7.5,43,66.5,3.4,0,46.9,11.7,74.2,0,15.4,63.1,14.9,31.3,9.9,0,24.2,0.9,0,0,0,9.9,74.2,0,56.6,74.2,0,74.2,0,28.4,0,34.2,66.5,74.2,0,9.9,20.9,0,0,0,0,0,0,0,24.2,0,0,14.2,14.2,0,7.5,0,0.5,0,0,0,51.5,74.2,74.2,74.2,13.1,0,21.8,64.2,59,74.2,54.2,47.7,74.2,74.2,0,0,0,0,70.4,63.1,0,30.4,46.2,59.9,0,74.2,69.7,28.7,0,0,15.1,0.1,17.1,0,0,63.7,7.5,74.2,58.6,17.7,0,0,2.8,0,10.9,7.5,71,74.2,9.9,0,9.2,9.5,18.2,0,0,26.4,1.5,9.9,61.7,0,7.5,0,0,0,1.5,16.1,74.2,0,0,6.2,3.4,14.2,0,0,16.3,50.7,0,20.4,0,0,0,2.8,18,0,0,0,12.1,1.7,31.2,0,0,0,0,0,0,0,41.7,0,13.1,0,0,0,0,0,0,41.7,14.4,0,0,0,0,0,0,0,0,0,8.4,0,0,0,18.8,0,41.7,41.7,0,41.7,0,0,0,2.6,4.9,0,0,0,0,8.4,37.4,0,0,0,0,0,9.6,21,43.5,34.6,42.9,9.6,39.3,23.3,41,41,6,31,15.4,0,37.5,71,63.4,69,0,33,23.1,73,68.5,81,25.4,0,23.9,0,28.1,28.4,7.1,21.9,18.5,0,0,22.2,21,46,26,26,0,0,0,0,0,43.8,23,0,0,70.6,15,48.2,71.4,0,59.4,49.3,19,19,3.9,26.3,32.4,47.8,93.3,93.8,91.7,0
"Dec3","Decidua","gdTCR",100,58.8,12.5,16.5,0,0,67.4,0,0,54.3,64,0,59.8,26.5,0,0,0,0,26.5,0,22,76.5,68.8,0,0,1.5,54.3,0,9.8,5.1,0,0,12.2,0,0,5.1,0,0,1.5,0,0,12.9,18.2,0,0,76.5,0,61.1,0,69.4,0,0,19.4,0,0,43.2,0,11.8,1.5,76.5,0,0,26.5,0,3.8,33.6,26.5,0,62.2,39,0,9.8,64,26.5,0,0,0,9.8,43.2,0,0,76.5,7.3,76.5,0,0,68.2,1.5,0,12.9,0,12.9,6.5,0,0,0,36.5,76.5,0,53.4,76.5,0,76.5,0,0,0,43.2,67.4,47.9,0,1.5,0,6.5,0,0,0,0,0,0,0,0,0,6.5,43.2,0,9.8,0,0,0,0,0,76.5,76.5,76.5,76.5,9.8,0,21.5,76.5,54.3,76.5,56.5,45.5,76.5,76.5,0,0,0,0,51.5,50.2,5.1,18.6,37.6,15.4,0,76.5,67.4,30.3,0,0,3.2,0,19.4,0,0,51.5,9.8,68.8,26.5,11.3,0,0,0,4.3,0,5.9,76.5,70.6,29.4,0,15,0,0,0,0,0,0,0,43.2,0,0,0,0,0,0,8.1,76.5,0,0,0,0,0,0,0,4.3,43.2,5.1,0,0,1.5,0,0,0,0,0,6.2,32.1,0,58.8,0,0,0,0,0,0,0,58.8,0,28.4,49.7,36.6,0,0,14.4,0,45.2,25.5,0,0,15.3,19.9,0,0,0,0,0,5.5,0,0,0,30.2,0,58.8,30.2,0,52.9,0,0,0,0,0,0,0,0,0,14.4,51.7,0,0,0,0,0,0,15.1,0,45,18.6,5.3,51.8,0,0,15.1,0,15.1,0,0,6.8,61.8,81.8,24.7,0,0,6.8,81.8,75.6,81.8,0.6,0,0,0,3.2,0,23.5,0,0,0,0,9.1,0,12.6,6.8,6.8,0,0,0,26.7,18.2,58.3,23.1,27.3,0,29.4,0,20,12.5,12.5,21.4,61.9,15.4,44.4,11.1,14.3,28.6,14.3,76.9,85.7,40,0
"Preg2","Pregnant","gdTCR",97.3,52.1,25.5,72.5,0,8.3,83.3,6,10.6,83.3,83.3,0,64.3,0.5,33.3,4.1,0,0.5,5,8.3,41.9,83.3,75,37.8,0,0,22.8,0,2.3,3.3,0,13.6,4,0,0,2.7,4.4,0,2.1,0,64.8,15.3,29.7,66.2,2.1,83.3,8.3,80.1,1.8,54.3,0,0,45.4,0,0,34.7,15.4,10,17.8,83.3,0,0,60.2,25.2,36.6,38.6,14.5,0,0,37.5,0,14.3,83.3,17.6,0,0,43.3,22,42.6,1.5,0,63.3,5.9,79.1,0,0,78.5,1.7,13.7,28.3,0,9.4,2.7,2.3,0,0,5.2,83.3,24,28.8,83.3,10.6,83.3,0,18.1,0,53.3,79.1,77.7,6,9.6,19,0,0,0,0,0,0,0,0,0,0,16.6,6.8,0,4.1,0,0,0,0,0,83.3,83.3,83.3,83.3,0,0,15.8,83.3,58.3,83.3,61.9,41.2,83.3,76.8,0,0,0,0,78.4,20.4,0,30.4,14.5,44.7,0,83.3,71.2,5,0,0,1.2,0,0,0,0,70.8,15.7,80.3,83.3,4.1,0,0,1.8,0,16.6,43.3,83.3,83.3,0,0,8.3,0,13.6,0,0,0,0,0,41.8,0,0,38.9,0,0,6.4,8.3,83.3,0,0,0,1.2,0,0,0,19,55.5,0,0,7.5,0,0,0,0,0,0,13.5,0.1,0,73.9,0,0,0,0,0,0,45.3,36.8,0,15.1,22.4,7.2,0,0,54.9,0,63.9,17.8,0,0,0,7.2,0,0,0,0,0,0,0,0,0,4.2,0,68.8,73.9,0.6,59.6,0,0,0,0,0,2,0,6.3,0,21.9,67.2,0,0,0,0,0,42.1,37.08,10.88,81.18,22.68,9.38,67.68,2.98,30.58,34.38,37.88,32.68,4.78,0,8.68,65.78,92.68,50.38,0,14.88,6.98,65.78,78.38,92.68,14.08,0,60.98,5.18,25.08,8.08,20.48,18.78,11.88,0,0,16.78,30.18,27.68,14.58,0,0,0,0,23.44,0,68.14,45.84,2.55,0,23.3,17.2,14.1,45.5,0,8.1,43.3,0,8.1,2.2,43.8,12.2,6.9,100,66.7,66.7,0
"Preg1","Pregnant","gdTCR",90.32,57.02,34.12,72.8,10.1,8.8,81.5,5.5,20.8,67.2,81.5,0,56.5,8.4,27.7,0,0,0,4.6,11.1,66.5,81.5,64.8,24.4,0,13.6,72.7,14.8,12.5,8.4,0,16.3,22.1,0.7,0.3,12.1,8.8,0,3.1,0,29.8,23.9,41.5,33.4,0,81.5,0,78.8,0,77.3,5.9,27,48.2,0,0,39.2,12.5,0,0,81.5,0,0,67.2,4.8,46.9,40.5,0,0,17.5,36,3.7,20.9,81.5,0,0,0,31.5,7.4,64.1,3.7,0,62.7,17.2,81.5,0,0,77.2,18.3,14.8,19.6,0,18.5,0,0,0,0,27.3,81.5,12.3,45.6,81.5,0,81.5,0,29.8,0,60.4,81.5,81.5,9.3,25.9,8.2,11.5,0,0,0,0,0,0,27.7,0,25.9,20.4,21.5,3.7,20.4,0,7.3,0,0,0,81.5,81.5,81.5,81.5,11.5,0,20.8,81.5,81.5,81.5,54.2,66.1,81.5,81.5,0,0,45.4,0,77.3,9.7,0,34.3,25.3,38.6,2.9,81.5,78.4,19,0,0,8.4,12.5,6.5,0,4.6,66.7,24.4,81.5,81.5,14.8,0,0,9.1,3.2,7.3,71.2,81.5,81.5,0,0,14.8,0,19.4,0,0,0,17.5,10.9,44,0,5.3,0,0,0,3.4,13.6,81.5,0,0,4.8,0,0,13.6,0,14.8,13.1,0,22.4,10.9,0,7.4,4.4,6.5,0,1.5,59.7,5.2,0,71.9,0,0.5,0,0,0,0,0,71.9,0,49.2,13.8,16.3,0,0,68.7,11.9,71.9,33.2,0,2.7,17.1,12.5,0,0,0,0,0,6.3,14.8,0,0,59.7,0,71.9,71.9,0,67.4,0,0,0,0,0,0,0,5.2,0,0,64.2,0,0,11,0,0,0,19.3,14.8,17.5,8,7,49.8,4.5,15.9,26.5,4.3,1.5,3.4,0,4.5,74.8,66.4,8,0,5.3,0,78.4,71,78.4,4.2,0,24.6,0,9.6,6.4,5.3,0,13.4,0,0,16.3,0.6,13,7,17.5,0.6,0,0,7.89,0,64.5,40.7,0,0,44,25,25.6,53.9,0,0.7,71.8,0,30.9,0,54.1,6,3.3,100,70.6,85.7,0
"Preg4","Pregnant","gdTCR",90.41,57.91,25.81,62.7,2.8,0,80,0,0,62.9,37.4,0,71.7,21.3,7.4,0,0,0,2.1,0,64,80,57.8,64.4,0,0,53.1,3,0,0,0,0,1.2,0,0,3.9,0,0,2.6,0,47.3,13.9,28.3,13.9,0,80,0,78.4,0,69.3,10.2,3.6,42.9,0,0,63.1,0,5,0,80,0,0,71.3,20.4,50.6,25.3,4,0,0.8,28.9,0,7.3,77.8,23.4,0,0,2.6,4.4,61,0,0,62,0,77.6,0,0,74.3,5,3.4,0,0,2.7,0,0,0,0,6.7,80,14.6,55.7,80,0,80,0,4.3,0,57.1,56.5,76.7,0,0,0.7,0,0,0,0,0,0,0,6.1,0,2.9,10.2,0,0,0,0,0,0,0,0,80,80,80,80,0,0,13.3,77.4,74.6,80,49.4,56.5,78.5,80,2.8,0,8.3,0,64.2,0.3,0,19,4.2,2.4,0,80,66.5,3.3,0,0,0,0,5,0,0,60.4,18.3,80,80,0,0,0,0,0,0,31.1,80,78.8,0,0,0.3,0,0,0,0,0,0,0,39.5,0,0,18,0,0,0,0,80,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2.5,53.1,22,3.4,84.8,0,0,1.2,0,0,0,8.9,86.4,30.6,39.2,43.7,13.8,0,0,83.7,2.2,58.7,54.8,0,0,1.5,10.9,0,0,0,0,5.6,10.7,1.1,9.5,0,55.4,0,86.8,89.2,0,69.2,8,0,0,7.7,4.2,19,0,13.6,0,15.2,82.5,2.9,0,9.7,23.6,0,18.3,34.45,20.85,39.95,27.15,8.25,52.25,12.95,41.75,10.05,22.85,18.05,16.85,0,17.25,58.05,83.75,41.75,0,12.65,14.35,92.65,82.75,92.65,11.25,5.15,12.95,4.95,17.05,17.65,18.15,19.15,30.15,0,0,18.15,12.25,19.75,21.45,11.65,0,0.1,0,1.07,4.51,42.17,39.07,0,0,41.4,26.8,21.55,64.45,0.4,11.95,86.25,3,31.15,0,49.45,16.55,11.55,57.9,82.5,60,0
"Preg3","Pregnant","gdTCR",98.31,70.71,24.61,54.1,0,0,69.2,0,0,46.1,68,0,65.9,0,0,0,0,0,2.6,0,46.1,71.6,40,23.2,0,0,54.9,0,0,0,0,0,1.6,0,0,2.5,0,0,0,0,4.3,0,18.1,14.2,0,71.6,0,69.1,0,57.3,0,6.9,28.7,0,0,34.1,0,0,0,71.6,0,0,69,15,15.6,17.6,4.2,0,0,19,0,0,67.5,5.8,0,0,10.5,0,53.7,0,0,68.2,6.6,71.6,0,0,63.3,0,2.7,0,0,10.6,0,0,0,0,6.7,71.6,0,40.4,71.6,0,71.6,0,3.1,0,36.1,57.7,61.1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,1.8,0,0,0,0,0,0,0,0,71.6,71.6,71.6,71.6,0,0,10.1,71.6,70.2,71.6,50,57.8,69.4,71.6,13.4,0,0,0,53.9,11.3,0,15.4,7.2,14.8,0,71.6,71.6,0,0,0,0,0,14.7,0,0,40.8,20.8,69.6,71.6,0,0,0,0,0,0,32.7,71.6,70.2,0,0,0,0,0,0,0,0,0,0,36.5,0,0,4.9,0,0,0,0.9,71.6,0,0,0,7.7,0,0,0,2.5,23.7,0,0,0,0,0,0,2.4,0,0,35.7,0,0,63,0,0,0,0,0,0,0,59.8,10.5,21.5,9,0,0,0,56.2,0,43.3,37.3,0,0,0,5.9,0,0,0,0,0,0,0,0,0,52.5,0,63,60.8,0,47.6,0,0,0,0,0,0,0,0,0,0,53.9,0,0,0,0,0,0,21.8,17.8,30.2,12.4,0,35.1,15.4,35.4,4.4,0.8,16.8,14.4,0,7.4,70.9,70.4,2.9,0,0,4.8,83.2,78.9,86.2,6.2,5.2,10.3,0,0.8,15.1,6.2,23.2,14.5,0,0,6.6,3.2,20.2,17.3,16.6,0,9.1,0,0,0,65.3,41.1,0,0,36.7,27.8,24.7,28,0,28.6,80.9,0,25.6,0.08,62.1,18.5,14.3,65.1,72.4,75,0
"NonP4","Nonpregnant","gdTCR",98.89,87.59,14.19,68.6,0.5,0,89.1,0,0.2,44,85.4,0,82.5,5.5,5.8,0,0,0,3.7,0,76.1,89.3,86.4,64,0,0,19.3,2.2,0,0,0,0,9,0,0,5.8,1.9,0,1.1,0,51.2,2.7,4.7,81.6,0,89.3,29.2,88.4,0,79.3,10.9,2,78,0,0,4.3,0,8.7,0,89.3,0,31.6,82.1,4.5,37,26.2,2.2,0,0,24.7,0,4.5,87.2,8.1,0,0,2.8,6.4,80.2,2.1,0,88.8,0,88.6,0,0,88.6,0,4.5,3.5,0,3.4,0,0,23.4,0,7.1,89.2,0.6,32,89.3,0,89.3,0,11.7,0,17.6,89.2,87.1,0,1.6,8.6,0,0,0,0,0,0,0,0.2,0,63.6,21.7,5.8,25.2,1.1,0,0,0,3.5,0,89.3,89.3,89.3,89.3,82.5,0,8.9,89.1,75.7,89.3,71.7,55.8,89.2,89.3,26.8,0,7.6,0,87.7,19.8,0,31.3,11.4,17,0,89.3,70.5,0.9,0,0,4.1,0,31,0,1,88.5,37.8,88.2,89.3,0,0,0,0,0,0.8,85.3,89.3,89.2,0,0,2,0,3.1,0,0,0,0,0.6,48.7,0,0,10.5,0,0,0,7.7,89.3,0,0,0,11.9,0.2,62.6,0,0,14.9,0,0,0,0,0,0,3.1,0,0,67.7,10.6,5,84.8,0,0,0,0,0,0,19.3,81.2,0,18,5.9,2.8,0,9.3,83.2,1.2,80,3.6,0,0,0,15.9,0,0,0,0,0,14.9,0,0,0,83,0,84.4,83,0,51.1,0,0,0,0,0,3.3,0,0.9,0,0,84.5,0,0,0,0,0,0,14.69,6.99,61.19,5.29,32.69,83.59,5.49,5.39,6.29,2.09,5.59,5.09,0,4.39,87.29,90.59,25.59,0,2.19,0.31,90.69,90.49,91.29,5.09,0.92,80.59,0,7.59,5.19,4.09,9.89,4.19,0,0,6.29,3.79,8.39,29.09,4.19,0,0,0,0,0.33,12.71,93.61,0.42,0,16.04,10.44,10.16,70.36,0,5.46,54.16,0,10.06,0,18.46,5.96,4.06,84.81,95.01,96.11,0
"NonP2-1","Nonpregnant","gdTCR",98.58,79.38,22.68,69.6,0,0,82.5,0.4,0,48.6,74.1,0,61.9,6,7.2,0,0,0,12.1,0,76.8,82.7,66.6,54.7,0,0,73.9,3.9,0,0.4,0,0,10.8,0,0.1,8.6,3.8,0,8.3,0,9.8,3.3,34,54.1,0,82.7,0,82.7,0,80.4,12.2,7.1,58.1,0,0,57.1,0,8.3,0,82.7,0,0,79.8,7.9,53,32.4,3.6,0,2,36.9,0,9.3,82.7,46.6,0,0,8.9,8.6,77.9,0,0,78.6,2.3,82.7,0,2.3,76.7,0,7.5,5.4,0,9.7,0,0,0,0,11.5,82.7,0,64.9,82.7,0,82.7,0,10,0,35,81.5,80.5,2.3,8.2,5.6,1.2,0,0,0,0,0,0,8.2,0,15.9,47.4,11.1,0,6.3,0,0,0,1.5,0,82.7,82.7,82.7,82.7,4.7,0,17.1,82.5,81.8,82.7,71,64.3,82.3,82.7,32.8,0,16.7,0,78.4,15.8,0,55.9,9.7,18.1,0,82.7,79.5,5.6,0,0,0.6,0,29.1,0,0.6,73.8,32.8,81.3,82.7,3.1,0,0,0,0,2.4,37,82.7,82.7,0,0,10.8,2.6,0.9,0,0,1.8,3.2,3.2,47,0,0,21.4,0,0,0,8,82.6,0,0,0,5.9,0.5,3.2,0,1.1,22.9,0,2.5,3.3,0,0,0,5.9,0,0,67.5,12.9,4.4,79.3,0,0,0,0,0,0,0,74.9,32.4,47.7,35.3,8.1,0,0,71.9,0.6,64.8,56,0,0,0,12.8,0,0,0,0,0,13.8,0,2,0,65.4,0,79.1,79.3,0,68,0,0,0,0,0,3.6,0,6,0,0.3,73.7,0,0,1.8,2.3,0,0,24.96,20.56,28.76,16.26,6.76,33.66,15.26,32.46,15.56,41.66,15.36,8.76,0,12.36,56.56,85.56,20.46,0,6.96,11.56,90.16,87.76,90.36,8.36,5.96,33.76,2.16,19.36,16.16,14.46,14.56,18.76,0,0,15.36,12.76,18.56,17.66,18.26,0,3.6,0,0,0,77.99,16.49,0,0,27.17,13.77,11.09,56.89,0,14.89,91.89,4.4,21.99,0,67.49,15.29,17.39,92.07,85.47,71.57,0
